Question,Answer,,,,,,,,,,,,,,,,,,,,
What is the difference between a variable and expression?,An expression is the definition of a variable. A variable is a named placed in memory where data is stored.,,,,,,,,,,,,,,,,,,,,
What do string constants need?,Single or double quotes,,,,,,,,,,,,,,,,,,,,
what is a variable?,A variable is a named placed in memory where data is stored. ,,,,,,,,,,,,,,,,,,,,
Python variables must start with what?,an _or a letter,,,,,,,,,,,,,,,,,,,,
what sequence does python execute in?,Right to Left,,,,,,,,,,,,,,,,,,,,
What is the operation symbol for power and remainder?,Power ** Remainder %,,,,,,,,,,,,,,,,,,,,
How do you findd out the type of your input?,type(input),,,,,,,,,,,,,,,,,,,,
Difference between intergers and floating ?,Interger are whole numbers. Floats are decimal parts. ,,,,,,,,,,,,,,,,,,,,
Will dividing an interger produce an interger?,No. An interger divsion produces a floating point. return(10/2) --> 5.0,,,,,,,,,,,,,,,,,,,,
What does the input() function do ?,Return the string of the user input,,,,,,,,,,,,,,,,,,,,
How do we comment code in Python?,# comment here ,,,,,,,,,,,,,,,,,,,,
What is the operator precendence?,Top to Bottom. Parenthesis. Power. Multiplication. Addition. Left to Right within the expression.,,,,,,,,,,,,,,,,,,,,
What is a boolean expression and its operators?,Boolean expression asks a question and produce a Y/N or True/False for program control. <= less than or equal to or >= greateer than equal to. != / == not equal or equal to,,,,,,,,,,,,,,,,,,,,
What happens if you increase the indent after an if statement?,Increase the indent is for the return of an if/for statement,,,,,,,,,,,,,,,,,,,,
What happens if you reduce the indent after an if statement?,indicate the end of the block code,,,,,,,,,,,,,,,,,,,,
What happens if you maintain the indent after an if statement?,indicate the scope of the block which lines are affected,,,,,,,,,,,,,,,,,,,,
What does range() do?,Usually used in a loop and range(5) will go through interger 0 1 2 3 4. Starts at zero and goes to one less than the parameter.,,,,,,,,,,,,,,,,,,,,
What are all the key option in conditional statements?,if [cond.expression]: true elif [cond.expression]: true else [cond.expression]: false  ,,,,,,,,,,,,,,,,,,,,
What is the purpose of try and except in python?,Try and except is used for traceback. You know its going to 'blow up'.  ,,,,,,,,,,,,,,,,,,,,
What is try and except?,Try is where you place a dangerous peice of code block that you predict will 'blow up'/throw an error. Instead of stopping the program all together you can use except. try: dangerous code except: results of error when dangerous code renders an error,,,,,,,,,,,,,,,,,,,,
What does a function consist of?,a function name declariation: def thing(): indent for the result: print(334) function call: thing(),,,,,,,,,,,,,,,,,,,,
Is it possible to get the single character of string ?,We can get at any single character in a string using an index specified in square brackets m=abbey m[1] >>> 'b',,,,,,,,,,,,,,,,,,,,
How to get the length of a string or array? And index starts with...,"len(), an interget count of how many variables/characters are present. + 0 index start",,,,,,,,,,,,,,,,,,,,
How to slice string without function?,colon operator helps us slice string . example: m=abbey print(m[1:3]) >> bbe,,,,,,,,,,,,,,,,,,,,
How to find the number of occurances in a string ?,find() searches a string n return the number of occursnces. m.find(‘bb’) >> 1,,,,,,,,,,,,,,,,,,,,
How to replace?,"replace(match_str,replace_str)",,,,,,,,,,,,,,,,,,,,
What is a list in python?,A list is a collection that allows us to put many values in a single variable. In order to sequence of objects.,,,,,,,,,,,,,,,,,,,,
How do you look inside a list?,Square brackets,,,,,,,,,,,,,,,,,,,,
What is the difference between strings and list?,"Strings are immutables, meaning we cannot change them, whereas listed as mutables and we can CRUD them as we see fit.",,,,,,,,,,,,,,,,,,,,
Can you concate list?,Yes. a+b = c c = [1 2 3 4 5 ],,,,,,,,,,,,,,,,,,,,
"list.append(x)
",Add an item to the end of the list.,,,,,,,,,,,,,,,,,,,,
list.pop([i]),"Remove the item at the given position in the list, and return it. If no index is specified, a.pop() removes and returns the last item in the list.",,,,,,,,,,,,,,,,,,,,
"list.insert(i, x)","Insert an item at a given position. The first argument is the index of the element before which to insert, so a.insert(0, x) ",,,,,,,,,,,,,,,,,,,,
list.remove(x),Remove the first item from the list whose value is equal to x. I,,,,,,,,,,,,,,,,,,,,
list.reverse(),Reverse the elements of the list in place.,,,,,,,,,,,,,,,,,,,,
list.extend(iterable),Extend the list by appending all the items from the iterable.,,,,,,,,,,,,,,,,,,,,
"list.index(x[, start[, end]])",Return zero-based index in the list of the first item whose value is equal to x.,,,,,,,,,,,,,,,,,,,,
What are the two ways you can check a list for an element?,find() or in . l=[9 4 3] l in 4 >> true,,,,,,,,,,,,,,,,,,,,
what is the difference between dictionaries and list in python?,"List are a linear collection of values, whereas list have a key value pair.",,,,,,,,,,,,,,,,,,,,
What order are dictionaries in? ,No particular order. The insertion order is not the sorted order. ,,,,,,,,,,,,,,,,,,,,
How to insert into a dictionary ? ,thisSet=dict(). key value defining. thisSet['summer']=12 ,,,,,,,,,,,,,,,,,,,,
get(),"The get() method returns the value of the item with the specified key.

",,,,,,,,,,,,,,,,,,,,
How to retrieve list of key n values?,list(test.keys())  list(test.values()) list(test),,,,,,,,,,,,,,,,,,,,
How can you iterate through two variables? ,"for xx,bb in testDict.items() print(xx,bb)",,,,,,,,,,,,,,,,,,,,
"How could we rewrite this: for x in fruits:
  if ""a"" in x:
    newlist.append(x)

print(newlist))","fruits = [""apple"", ""banana"", ""cherry"", ""kiwi"", ""mango""]

newlist = [x for x in fruits if ""a"" in x]

print(newlist))",,,,,,,,,,,,,,,,,,,,
